GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,SAGDP9,1,"...","All industry total ","Millions of chained 2017 dollars",41071.0,40263.7,39783.1,38428.1,40014.4,41904.7,41235.0,42880.1,44406.8,47546.2,50126.7,49926.6,54951.9,53652.0,54045.5,57087.4,54627.6,53303.3,53681.1,53463.9,53550.9,52479.6,52377.5,50901.3,51764.0,50509.1,54183.8,55945.7
 "02000","Alaska",8,SAGDP9,2,"..."," Private industries ","Millions of chained 2017 dollars",31938.0,31225.7,30847.0,29476.7,30896.3,32435.1,31602.9,33169.4,34472.4,37418.6,39895.2,39622.7,44186.8,42887.1,42956.0,45718.8,43748.7,42503.5,43022.1,42574.0,42616.9,41416.8,41531.6,40453.2,41612.5,40417.2,43934.7,45604.5
 "02000","Alaska",8,SAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",523.9,421.3,454.2,522.9,494.6,453.9,507.1,437.9,489.1,513.2,449.2,544.3,522.1,608.5,691.4,609.0,606.3,555.0,527.4,450.4,439.4,435.1,451.5,390.4,362.9,463.1,473.9,476.0
 "02000","Alaska",8,SAGDP9,4,"111-112","   Farms ","Millions of chained 2017 dollars",25.1,26.9,31.3,39.4,34.5,37.4,22.9,20.4,24.5,23.0,15.8,13.3,20.3,16.5,12.2,15.4,13.2,17.1,20.3,25.9,14.7,15.9,14.8,14.0,14.9,12.5,14.5,15.9
 "02000","Alaska",8,SAGDP9,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",500.7,394.6,422.9,483.5,460.3,416.0,486.5,419.3,466.2,492.1,435.7,535.7,505.1,596.1,685.5,597.0,597.6,539.7,507.8,424.9,424.7,419.3,436.7,376.5,347.9,452.9,461.0,461.4
 "02000","Alaska",8,SAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",10906.7,8214.2,7213.6,5720.9,5403.2,7238.5,5433.4,6251.3,6523.7,8440.7,9469.3,8755.3,11477.5,9632.7,9885.3,11350.2,9659.8,8649.4,8506.8,7893.2,8150.4,7179.0,7232.5,8135.8,7537.6,5960.7,7870.9,8586.1
 "02000","Alaska",8,SAGDP9,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",8672.4,5872.7,5061.2,3449.1,3015.6,4828.1,3404.6,3924.6,4124.1,5083.5,5626.4,5244.6,7311.4,5582.4,5727.8,7043.8,5682.5,4801.9,5255.8,5381.9,5283.7,4384.2,4620.1,5584.6,4504.0,3258.5,5070.3,5452.6
 "02000","Alaska",8,SAGDP9,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",1216.8,1229.4,1260.5,1075.6,734.6,622.5,724.5,914.6,870.3,1771.3,2250.5,1570.7,1620.1,1970.9,1991.3,1619.0,1662.2,1646.2,1318.5,1453.5,1799.2,1552.7,1375.0,1677.1,1853.0,1620.2,1457.8,1603.5
 "02000","Alaska",8,SAGDP9,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",571.8,608.5,499.6,841.0,1276.4,951.1,864.3,927.5,960.5,1385.2,1523.2,1754.1,1728.1,1863.5,1953.3,1966.1,2025.5,2266.0,1819.4,1080.2,1067.6,1285.6,1275.4,1009.5,1181.4,1374.1,1530.3,1748.9
 "02000","Alaska",8,SAGDP9,10,"22","  Utilities ","Millions of chained 2017 dollars",580.3,559.1,642.3,640.3,532.6,535.9,526.0,563.6,543.3,568.0,569.2,619.6,614.7,684.1,778.7,809.4,798.6,763.2,744.9,797.2,791.7,781.5,780.2,889.3,886.5,864.3,929.7,948.4
 "02000","Alaska",8,SAGDP9,11,"23","  Construction ","Millions of chained 2017 dollars",2691.8,2617.1,2586.0,2560.7,2672.1,2747.6,2924.3,2930.6,2920.5,2669.6,2639.2,2553.6,2638.0,2660.1,2534.4,2430.5,2382.2,2519.7,2708.7,2550.2,2445.0,2500.5,2560.0,2467.7,2374.9,2106.8,2224.5,2490.5
